month,n_questions,avg_body_len,avg_score,accept_rate,answered_rate,avg_hours_to_first_answer,unique_askers,first_time_askers
"2019-01-01 00:00:00","31","2011.1935483870968","0.5161290322580645","0.258064","0.774193","16.622222222222224","27","15"
"2019-02-01 00:00:00","23","1872.6521739130435","0.6956521739130435","0.47826","0.913043","1383.2785714285715","23","11"
"2019-03-01 00:00:00","28","2052.3571428571427","0.6785714285714286","0.357142","0.785714","165.12727272727273","27","9"
"2019-04-01 00:00:00","49","1949.3469387755101","0.5102040816326531","0.510204","0.918367","811.4577777777778","38","18"
"2019-05-01 00:00:00","60","2067.383333333333","0.5166666666666667","0.4","0.916666","1202.258484848485","49","22"
"2019-06-01 00:00:00","33","3227.4545454545455","0.8484848484848485","0.363636","0.939393","36.290860215053755","20","9"
"2019-07-01 00:00:00","40","2625.375","0.475","0.525","0.975","24.314529914529917","28","14"
"2019-08-01 00:00:00","34","1996.0588235294117","1.2352941176470589","0.382352","0.970588","231.8287878787879","24","8"
"2019-09-01 00:00:00","26","2092.230769230769","0.5","0.346153","0.961538","8.609333333333332","24","15"
"2019-10-01 00:00:00","27","2080.185185185185","0.5925925925925926","0.296296","0.925925","25.969999999999995","24","8"
"2019-11-01 00:00:00","36","2401.8611111111113","0.4444444444444444","0.361111","0.888888","35.73645833333334","31","17"
"2019-12-01 00:00:00","23","2945.217391304348","0.5652173913043478","0.434782","0.956521","25.03712121212121","19","8"
"2020-01-01 00:00:00","23","2697.7391304347825","0.391304347826087","0.47826","0.869565","25.48916666666667","20","7"
"2020-02-01 00:00:00","19","2773.0526315789475","0.9473684210526315","0.263157","0.842105","41.51770833333334","18","5"
"2020-03-01 00:00:00","14","1962","1.0714285714285714","0.214285","0.785714","53.378787878787875","13","4"
"2020-04-01 00:00:00","27","2316.259259259259","0.4444444444444444","0.481481","0.962962","283.8974358974359","25","11"
"2020-05-01 00:00:00","44","2465.3636363636365","0.5","0.431818","0.795454","130.86571428571432","37","19"
"2020-06-01 00:00:00","28","1967.3214285714287","0.32142857142857145","0.321428","0.892857","474.57600000000014","23","12"
"2020-07-01 00:00:00","10","2154","0.3","0.4","0.9","31.418518518518518","10","6"
"2020-08-01 00:00:00","23","2302.9565217391305","0.6956521739130435","0.565217","0.826086","14.421052631578947","21","8"
"2020-09-01 00:00:00","12","1872.9166666666667","0.5833333333333334","0.5","0.833333","100.53666666666668","12","3"
"2020-10-01 00:00:00","27","3036.3333333333335","0.3333333333333333","0.333333","0.925925","1122.8780000000004","23","7"
"2020-11-01 00:00:00","24","1962.125","0.4583333333333333","0.5","0.916666","1221.412878787879","21","8"
"2020-12-01 00:00:00","26","2113.269230769231","0.6153846153846154","0.615384","0.730769","3.6052631578947367","22","9"
"2021-01-01 00:00:00","20","2392.25","0.2","0.25","0.85","13.240196078431374","20","11"
"2021-02-01 00:00:00","16","3240.4375","0.5","0.25","0.75","32.016666666666666","15","10"
"2021-03-01 00:00:00","32","1765.25","0.5","0.40625","0.78125","342.53466666666674","27","9"
"2021-04-01 00:00:00","19","1969.5263157894738","0.5263157894736842","0.263157","0.842105","28.727083333333336","18","11"
"2021-05-01 00:00:00","16","2121.9375","0.25","0.625","0.875","13.514285714285714","15","8"
"2021-06-01 00:00:00","16","2489.9375","0.75","0.5","0.8125","17.664102564102564","14","5"
"2021-07-01 00:00:00","17","1827.1176470588234","0.29411764705882354","0.352941","1","82.0656862745098","15","7"
"2021-08-01 00:00:00","11","1923.7272727272727","0.2727272727272727","0.727272","0.818181","8.24074074074074","7","0"
"2021-09-01 00:00:00","11","1537.7272727272727","0.36363636363636365","0.727272","0.90909","13.276666666666666","11","4"
"2021-10-01 00:00:00","18","1863.0555555555557","0.3888888888888889","0.111111","0.888888","7.21875","13","5"
"2021-11-01 00:00:00","18","2521.3888888888887","0.16666666666666666","0.444444","0.833333","12.236666666666666","17","5"
"2021-12-01 00:00:00","21","1507.1904761904761","0.14285714285714285","0.428571","1","161.99603174603175","17","5"
"2022-01-01 00:00:00","28","3221.5","0.21428571428571427","0.428571","0.928571","23.269230769230766","24","6"
"2022-02-01 00:00:00","12","2321","0.3333333333333333","0.333333","1","14.855555555555556","11","8"
"2022-03-01 00:00:00","28","2001.357142857143","0.35714285714285715","0.25","0.928571","12.934615384615382","20","4"
"2022-04-01 00:00:00","21","1978.7619047619048","0.09523809523809523","0.380952","0.95238","39.18833333333333","19","7"
"2022-05-01 00:00:00","14","3628.1428571428573","0.35714285714285715","0.714285","1","5.850000000000001","11","7"
"2022-06-01 00:00:00","6","2689.8333333333335","0","0","1","419.2277777777777","6","5"
"2022-07-01 00:00:00","11","3656.6363636363635","0.36363636363636365","0.272727","0.818181","13.170370370370371","11","5"
"2022-08-01 00:00:00","11","1767.5454545454545","-0.09090909090909091","0.454545","0.90909","23.279999999999998","11","4"
"2022-09-01 00:00:00","10","1456.3","-0.5","0.4","1","24.993333333333336","9","5"
"2022-10-01 00:00:00","13","2130.076923076923","0.15384615384615385","0.153846","1","17.52692307692308","11","7"
"2022-11-01 00:00:00","18","3618.222222222222","-0.2222222222222222","0.5","1","7.537962962962963","16","10"
"2022-12-01 00:00:00","12","2113.3333333333335","0.5833333333333334","0.666666","1","971.4263888888889","8","5"
"2023-01-01 00:00:00","11","2171.818181818182","0.6363636363636364","0.545454","0.90909","830.8800000000001","8","3"
"2023-02-01 00:00:00","5","3516.6","-0.4","0","1","10.303333333333333","5","3"
"2023-03-01 00:00:00","12","1933.5833333333333","-0.08333333333333333","0.333333","1","3.623611111111112","12","2"
"2023-04-01 00:00:00","12","2653.3333333333335","-0.08333333333333333","0.333333","1","27.247222222222224","12","9"
"2023-05-01 00:00:00","7","2317.714285714286","-0.14285714285714285","0.142857","0.857142","25.70833333333333","7","3"
"2023-06-01 00:00:00","8","3351.5","0.5","0.5","0.875","16.25238095238095","8","4"
"2023-07-01 00:00:00","6","2338.6666666666665","0","0.333333","1","16.88888888888889","6","5"
"2023-08-01 00:00:00","5","8904.6","0.4","0.2","1","43.94333333333334","4","2"
"2023-09-01 00:00:00","6","2209","-0.3333333333333333","0.166666","1","13.513888888888891","6","1"
"2023-10-01 00:00:00","10","1564.6","-0.1","0.3","1","14.526666666666667","10","5"
"2023-11-01 00:00:00","15","3137.5333333333333","-0.06666666666666667","0.2","1","39.84","15","9"
"2023-12-01 00:00:00","10","4241.4","-0.4","0.1","1","38.711666666666666","9","4"
"2024-01-01 00:00:00","13","2926.4615384615386","0.07692307692307693","0.153846","0.923076","29.95277777777778","11","3"
"2024-02-01 00:00:00","8","1148.25","0.5","1","1","5.88125","8","1"
"2024-03-01 00:00:00","11","2731","0.36363636363636365","0.545454","0.90909","38.49166666666667","10","6"
"2024-04-01 00:00:00","11","3363.5454545454545","0","0.363636","0.90909","382.93333333333334","10","8"
"2024-05-01 00:00:00","10","2326.2","0","0.8","1","9.079999999999998","9","4"
"2024-06-01 00:00:00","4","7606.75","0.25","0.25","1","4.0125","3","2"
"2024-07-01 00:00:00","4","3144","-0.5","0.5","1","16.583333333333332","4","1"
"2024-08-01 00:00:00","6","2188.3333333333335","-0.3333333333333333","0.5","1","6.130555555555556","6","3"
"2024-09-01 00:00:00","9","3246.6666666666665","-1.1111111111111112","0.555555","1","106.05000000000001","9","6"
"2024-10-01 00:00:00","3","1962.3333333333333","0.3333333333333333","0.333333","1","2.8777777777777778","3","0"
"2024-11-01 00:00:00","5","1408.6","0.2","0.4","1","4.346666666666666","5","1"
