month,n_questions,avg_body_len,avg_score,accept_rate,answered_rate,avg_hours_to_first_answer,unique_askers,first_time_askers
"2019-01-01 00:00:00","90","2055.722222222222","1.288888888888889","0.555555","0.733333","184.13914141414142","67","16"
"2019-02-01 00:00:00","92","1760.5108695652175","0.9130434782608695","0.445652","0.695652","828.0463541666667","71","22"
"2019-03-01 00:00:00","95","1992.6947368421052","1.0947368421052632","0.452631","0.705263","42.489552238805956","75","32"
"2019-04-01 00:00:00","88","2061.125","1.0227272727272727","0.386363","0.670454","196.60847457627125","74","25"
"2019-05-01 00:00:00","79","2241.1518987341774","1.3924050632911393","0.379746","0.607594","23.65729166666667","68","31"
"2019-06-01 00:00:00","78","1781.1923076923076","0.9615384615384616","0.282051","0.641025","521.1993333333332","63","25"
"2019-07-01 00:00:00","86","2806.5697674418607","0.7093023255813954","0.38372","0.674418","65.85632183908045","71","31"
"2019-08-01 00:00:00","76","2054.3552631578946","1.131578947368421","0.407894","0.631578","369.68229166666674","63","19"
"2019-09-01 00:00:00","81","1489.8641975308642","0.9382716049382716","0.407407","0.641975","27.39711538461539","58","14"
"2019-10-01 00:00:00","77","1906.6493506493507","1.2727272727272727","0.285714","0.571428","943.94696969697","68","23"
"2019-11-01 00:00:00","88","1936.8977272727273","1.2386363636363635","0.363636","0.613636","118.71172839506173","76","24"
"2019-12-01 00:00:00","51","2261.372549019608","1.607843137254902","0.431372","0.686274","573.1966666666669","45","18"
"2020-01-01 00:00:00","70","2344.7","1.1714285714285715","0.328571","0.671428","486.3627659574469","66","26"
"2020-02-01 00:00:00","70","1796.8428571428572","0.8857142857142857","0.357142","0.642857","25.659629629629627","58","18"
"2020-03-01 00:00:00","66","2463.8636363636365","0.7575757575757576","0.363636","0.636363","1090.9492063492066","57","18"
"2020-04-01 00:00:00","77","2150.116883116883","1.051948051948052","0.428571","0.636363","35.97925170068028","65","21"
"2020-05-01 00:00:00","94","1879.2553191489362","0.648936170212766","0.393617","0.606382","27.796491228070177","73","25"
"2020-06-01 00:00:00","102","1948.362745098039","0.7843137254901961","0.313725","0.656862","415.4748756218905","81","28"
"2020-07-01 00:00:00","76","2433.2894736842104","0.631578947368421","0.210526","0.5","171.85614035087724","68","29"
"2020-08-01 00:00:00","68","1978.0294117647059","0.9411764705882353","0.455882","0.691176","879.313829787234","54","22"
"2020-09-01 00:00:00","66","2195.6969696969695","1.1666666666666667","0.333333","0.590909","22.523504273504276","52","14"
"2020-10-01 00:00:00","58","1743.5862068965516","1.2413793103448276","0.362068","0.655172","76.01271929824561","50","20"
"2020-11-01 00:00:00","88","1928.215909090909","0.7727272727272727","0.329545","0.613636","25.7962962962963","73","29"
"2020-12-01 00:00:00","83","1953.9638554216867","0.4578313253012048","0.361445","0.698795","219.27356321839073","64","23"
"2021-01-01 00:00:00","92","1967.9239130434783","0.5543478260869565","0.304347","0.576086","41.39559748427671","74","27"
"2021-02-01 00:00:00","65","2311.6769230769232","0.6615384615384615","0.353846","0.661538","85.30271317829462","55","20"
"2021-03-01 00:00:00","78","2234.551282051282","0.9487179487179487","0.294871","0.589743","49.915217391304346","58","27"
"2021-04-01 00:00:00","58","2351.948275862069","0.6551724137931034","0.310344","0.551724","173.8640625","49","20"
"2021-05-01 00:00:00","83","2341.4337349397592","1.072289156626506","0.349397","0.590361","147.91972789115644","58","20"
"2021-06-01 00:00:00","76","2633.1052631578946","1.0921052631578947","0.302631","0.565789","1348.362403100775","54","20"
"2021-07-01 00:00:00","90","2110.5","0.9111111111111111","0.333333","0.555555","198.3656666666667","66","24"
"2021-08-01 00:00:00","60","2272.1","1.5333333333333334","0.25","0.516666","51.024193548387096","53","20"
"2021-09-01 00:00:00","68","2398.3823529411766","1.25","0.279411","0.558823","23.710964912280698","51","21"
"2021-10-01 00:00:00","64","2392.34375","0.875","0.328125","0.671875","83.75658914728682","57","22"
"2021-11-01 00:00:00","72","2590.125","0.9722222222222222","0.25","0.555555","89.00916666666662","55","17"
"2021-12-01 00:00:00","46","2223.5652173913045","1.2173913043478262","0.413043","0.673913","40.705913978494635","39","17"
"2022-01-01 00:00:00","66","2153.909090909091","1.106060606060606","0.272727","0.590909","174.0034188034188","54","19"
"2022-02-01 00:00:00","50","2282.82","0.86","0.32","0.64","974.5052083333336","40","17"
"2022-03-01 00:00:00","47","2853.595744680851","0.574468085106383","0.297872","0.510638","35.62361111111111","41","14"
"2022-04-01 00:00:00","52","2356.153846153846","1","0.423076","0.557692","83.19022988505748","43","13"
"2022-05-01 00:00:00","55","2089.581818181818","1.3454545454545455","0.381818","0.672727","554.940990990991","47","24"
"2022-06-01 00:00:00","56","2631.0714285714284","1.375","0.303571","0.642857","133.13379629629628","46","12"
"2022-07-01 00:00:00","47","2375.553191489362","0.7872340425531915","0.404255","0.638297","103.20277777777778","40","12"
"2022-08-01 00:00:00","54","2403.3333333333335","0.8703703703703703","0.425925","0.666666","23.282870370370365","39","10"
"2022-09-01 00:00:00","50","2277.6","0.66","0.28","0.58","239.43218390804606","40","8"
"2022-10-01 00:00:00","40","1817.275","0.625","0.25","0.575","60.04057971014492","36","15"
"2022-11-01 00:00:00","48","2229.4583333333335","0.6041666666666666","0.354166","0.625","23.06555555555556","41","15"
"2022-12-01 00:00:00","23","1906.608695652174","0.5652173913043478","0.217391","0.521739","34.484722222222224","21","9"
"2023-01-01 00:00:00","45","2918.7555555555555","0.6444444444444445","0.355555","0.577777","246.7256410256411","41","13"
"2023-02-01 00:00:00","56","1886.6964285714287","0.7321428571428571","0.339285","0.642857","90.23518518518514","49","23"
"2023-03-01 00:00:00","47","2692.9148936170213","0.5957446808510638","0.404255","0.723404","43.52352941176472","42","13"
"2023-04-01 00:00:00","44","3056.0227272727275","0.3181818181818182","0.25","0.522727","14.007246376811592","37","13"
"2023-05-01 00:00:00","32","3118.25","0.28125","0.15625","0.40625","190.24615384615385","30","7"
"2023-06-01 00:00:00","36","2337.8611111111113","0.25","0.305555","0.555555","47.322500000000005","31","10"
"2023-07-01 00:00:00","39","1815.6410256410256","0.358974358974359","0.25641","0.538461","301.95238095238096","37","22"
"2023-08-01 00:00:00","36","1671.9722222222222","0.4166666666666667","0.222222","0.444444","66.27604166666667","33","10"
"2023-09-01 00:00:00","36","3469.3055555555557","0.4444444444444444","0.166666","0.583333","134.4087301587302","34","14"
"2023-10-01 00:00:00","21","2590.4285714285716","0.3333333333333333","0.428571","0.761904","16.71666666666667","19","6"
"2023-11-01 00:00:00","21","2717.9523809523807","0.14285714285714285","0.238095","0.47619","38.285000000000004","20","8"
"2023-12-01 00:00:00","28","3588.8214285714284","0.35714285714285715","0.214285","0.785714","940.1446969696968","26","9"
"2024-01-01 00:00:00","16","2818.625","0.1875","0.1875","0.5","110.47916666666666","13","4"
"2024-02-01 00:00:00","36","3688.1944444444443","0.2777777777777778","0.194444","0.416666","18.331111111111113","30","14"
"2024-03-01 00:00:00","28","2651.25","0.42857142857142855","0.321428","0.678571","22.993859649122804","27","14"
"2024-04-01 00:00:00","23","4221.130434782609","0.6956521739130435","0.521739","0.73913","39.56372549019608","17","7"
"2024-05-01 00:00:00","21","2698.9523809523807","0.6190476190476191","0.333333","0.666666","12.21904761904762","18","9"
"2024-06-01 00:00:00","27","2389.074074074074","0.4074074074074074","0.37037","0.555555","36.343333333333334","19","7"
"2024-07-01 00:00:00","22","3047.6363636363635","0.5454545454545454","0.363636","0.681818","738.4277777777776","20","7"
"2024-08-01 00:00:00","15","2688.866666666667","0","0.2","0.6","98.4037037037037","13","4"
"2024-09-01 00:00:00","15","1810","0.8666666666666667","0.4","0.666666","265.00333333333333","15","6"
"2024-10-01 00:00:00","16","2316.5","0.3125","0.3125","0.625","19.53666666666667","15","6"
"2024-11-01 00:00:00","19","2486.842105263158","1.4210526315789473","0.315789","0.526315","19.466666666666665","18","3"
"2024-12-01 00:00:00","6","3519.8333333333335","0.5","0.333333","0.666666","15.179166666666667","6","3"
