month,tag,group,llm_friendly,post_chatgpt,n_questions,avg_body_len,avg_score,accept_rate,answered_rate,unique_askers,n_questions_rel
2019-01-01,assembly,llm_unfriendly,0,0,219,1595.13698630137,1.904109589041096,0.452054,0.753424,183,0.8584653878231859
2019-02-01,assembly,llm_unfriendly,0,0,223,1573.013452914798,1.5650224215246638,0.497757,0.775784,180,0.8741451209341117
2019-03-01,assembly,llm_unfriendly,0,0,276,1551.9130434782608,1.2318840579710144,0.413043,0.681159,219,1.0819015846538782
2019-04-01,assembly,llm_unfriendly,0,0,303,1623.6369636963695,0.9867986798679867,0.396039,0.729372,248,1.187739783152627
2019-05-01,assembly,llm_unfriendly,0,0,234,1673.491452991453,1.7008547008547008,0.517094,0.799145,198,0.9172643869891576
2019-06-01,assembly,llm_unfriendly,0,0,199,1568.5829145728644,1.8542713567839195,0.487437,0.758793,162,0.7800667222685571
2019-07-01,assembly,llm_unfriendly,0,0,185,1759.6810810810812,2.1675675675675676,0.524324,0.762162,146,0.7251876563803169
2019-08-01,assembly,llm_unfriendly,0,0,166,1739.6506024096386,2.072289156626506,0.584337,0.789156,140,0.6507089241034195
2019-09-01,assembly,llm_unfriendly,0,0,221,1753.0361990950223,1.5339366515837105,0.484162,0.751131,178,0.8663052543786488
2019-10-01,assembly,llm_unfriendly,0,0,316,1583.5696202531649,1.6962025316455696,0.427215,0.699367,243,1.2386989157631358
2019-11-01,assembly,llm_unfriendly,0,0,280,1543.9071428571428,0.9714285714285714,0.385714,0.678571,224,1.097581317764804
2019-12-01,assembly,llm_unfriendly,0,0,248,1674.3629032258063,1.0846774193548387,0.423387,0.681451,195,0.9721434528773978
2020-01-01,assembly,llm_unfriendly,0,0,228,2087.780701754386,2.039473684210526,0.41228,0.701754,175,0.893744787322769
2020-02-01,assembly,llm_unfriendly,0,0,271,1527.6014760147602,1.022140221402214,0.380073,0.642066,201,1.062301918265221
2020-03-01,assembly,llm_unfriendly,0,0,293,1689.887372013652,1.0136518771331058,0.389078,0.593856,236,1.1485404503753127
2020-04-01,assembly,llm_unfriendly,0,0,372,1746.3413978494625,1.1935483870967742,0.330645,0.583333,292,1.4582151793160967
2020-05-01,assembly,llm_unfriendly,0,0,357,1729.4481792717088,1.050420168067227,0.341736,0.565826,295,1.399416180150125
2020-06-01,assembly,llm_unfriendly,0,0,327,2023.235474006116,1.1314984709480125,0.443425,0.672782,239,1.2818181818181817
2020-07-01,assembly,llm_unfriendly,0,0,269,1588.7620817843865,1.2565055762081785,0.498141,0.710037,203,1.054462051709758
2020-08-01,assembly,llm_unfriendly,0,0,263,1493.2927756653992,1.3802281368821292,0.429657,0.653992,167,1.0309424520433694
2020-09-01,assembly,llm_unfriendly,0,0,294,1799.8979591836735,0.9965986394557824,0.394557,0.639455,195,1.152460383653044
2020-10-01,assembly,llm_unfriendly,0,0,343,1587.8979591836735,0.7201166180758017,0.355685,0.588921,255,1.344537114261885
2020-11-01,assembly,llm_unfriendly,0,0,373,1687.372654155496,0.8364611260053619,0.367292,0.619302,275,1.4621351125938282
2020-12-01,assembly,llm_unfriendly,0,0,297,1622.074074074074,0.6902356902356902,0.383838,0.696969,245,1.1642201834862385
2021-01-01,assembly,llm_unfriendly,0,0,305,1921.4524590163935,1.0262295081967212,0.459016,0.691803,237,1.19557964970809
2021-02-01,assembly,llm_unfriendly,0,0,244,1779.7254098360656,0.8032786885245902,0.34836,0.627049,192,0.956463719766472
2021-03-01,assembly,llm_unfriendly,0,0,317,1734.6624605678232,0.807570977917981,0.397476,0.678233,274,1.2426188490408674
2021-04-01,assembly,llm_unfriendly,0,0,318,1557.7641509433963,0.9465408805031448,0.361635,0.600628,241,1.2465387823185987
2021-05-01,assembly,llm_unfriendly,0,0,300,1817.4333333333336,0.7033333333333334,0.35,0.593333,241,1.1759799833194329
2021-06-01,assembly,llm_unfriendly,0,0,257,1580.7315175097276,0.9571984435797666,0.385214,0.622568,207,1.0074228523769808
2021-07-01,assembly,llm_unfriendly,0,0,184,1659.0815217391305,0.875,0.385869,0.706521,139,0.7212677231025855
2021-08-01,assembly,llm_unfriendly,0,0,161,1618.962732919255,0.7701863354037267,0.403726,0.664596,134,0.6311092577147622
2021-09-01,assembly,llm_unfriendly,0,0,190,1565.8526315789477,1.063157894736842,0.378947,0.721052,160,0.7447873227689741
2021-10-01,assembly,llm_unfriendly,0,0,203,1629.7142857142858,0.6896551724137931,0.394088,0.650246,156,0.7957464553794829
2021-11-01,assembly,llm_unfriendly,0,0,278,1571.179856115108,1.1223021582733812,0.363309,0.643884,235,1.089741451209341
2021-12-01,assembly,llm_unfriendly,0,0,261,1776.5862068965516,0.7547892720306514,0.363984,0.613026,219,1.0231025854879066
2022-01-01,assembly,llm_unfriendly,0,0,225,1820.1777777777777,0.7822222222222223,0.351111,0.608888,179,0.8819849874895747
2022-02-01,assembly,llm_unfriendly,0,0,209,1624.7942583732058,0.8373205741626795,0.387559,0.626794,173,0.8192660550458715
2022-03-01,assembly,llm_unfriendly,0,0,232,2013.331896551724,0.7543103448275862,0.366379,0.607758,193,0.9094245204336947
2022-04-01,assembly,llm_unfriendly,0,0,244,1525.8032786885246,0.6557377049180327,0.331967,0.610655,214,0.956463719766472
2022-05-01,assembly,llm_unfriendly,0,0,250,1656.032,2.112,0.26,0.568,197,0.9799833194328607
2022-06-01,assembly,llm_unfriendly,0,0,234,1788.645299145299,0.8675213675213675,0.311965,0.589743,177,0.9172643869891576
2022-07-01,assembly,llm_unfriendly,0,0,202,2203.4257425742576,1.2425742574257426,0.410891,0.663366,153,0.7918265221017514
2022-08-01,assembly,llm_unfriendly,0,0,162,1767.0,0.7777777777777778,0.345679,0.629629,141,0.6350291909924937
2022-09-01,assembly,llm_unfriendly,0,0,173,1611.3468208092486,0.791907514450867,0.33526,0.664739,143,0.6781484570475396
2022-10-01,assembly,llm_unfriendly,0,0,217,1893.1013824884792,0.6497695852534562,0.285714,0.612903,181,0.8506255212677231
2022-11-01,assembly,llm_unfriendly,0,0,267,1910.6104868913856,0.7865168539325843,0.310861,0.614232,232,1.0466221851542952
2022-12-01,assembly,llm_unfriendly,0,1,253,1803.905138339921,0.7075098814229249,0.296442,0.581027,198,0.991743119266055
2023-01-01,assembly,llm_unfriendly,0,1,223,2036.488789237668,0.8161434977578476,0.278026,0.551569,192,0.8741451209341117
2023-02-01,assembly,llm_unfriendly,0,1,169,1868.5443786982248,0.7159763313609467,0.236686,0.485207,147,0.6624687239366138
2023-03-01,assembly,llm_unfriendly,0,1,157,1796.7452229299363,0.5477707006369427,0.292993,0.592356,146,0.6154295246038365
2023-04-01,assembly,llm_unfriendly,0,1,176,2283.840909090909,0.6818181818181818,0.278409,0.517045,155,0.6899082568807339
2023-05-01,assembly,llm_unfriendly,0,1,156,2272.076923076923,0.782051282051282,0.339743,0.634615,135,0.611509591326105
2023-06-01,assembly,llm_unfriendly,0,1,139,2360.2302158273383,0.7697841726618705,0.294964,0.669064,119,0.5448707256046705
2023-07-01,assembly,llm_unfriendly,0,1,150,2343.62,0.88,0.286666,0.56,116,0.5879899916597164
2023-08-01,assembly,llm_unfriendly,0,1,135,2086.1037037037036,1.0666666666666669,0.244444,0.548148,113,0.5291909924937448
2023-09-01,assembly,llm_unfriendly,0,1,135,2580.6296296296296,0.6296296296296297,0.34074,0.688888,116,0.5291909924937448
2023-10-01,assembly,llm_unfriendly,0,1,154,2171.9025974025976,0.4675324675324675,0.27922,0.623376,136,0.6036697247706422
2023-11-01,assembly,llm_unfriendly,0,1,155,1962.9935483870968,0.6903225806451613,0.277419,0.509677,143,0.6075896580483736
2023-12-01,assembly,llm_unfriendly,0,1,164,2389.0304878048782,0.676829268292683,0.341463,0.646341,143,0.6428690575479566
2024-01-01,assembly,llm_unfriendly,0,1,161,2518.385093167702,0.9503105590062112,0.304347,0.58385,136,0.6311092577147622
2024-02-01,assembly,llm_unfriendly,0,1,118,2278.35593220339,0.847457627118644,0.29661,0.669491,98,0.4625521267723102
2024-03-01,assembly,llm_unfriendly,0,1,127,2575.1259842519685,0.984251968503937,0.251968,0.606299,113,0.4978315262718932
2024-04-01,assembly,llm_unfriendly,0,1,170,2067.6294117647058,1.011764705882353,0.27647,0.564705,153,0.6663886572143453
2024-05-01,assembly,llm_unfriendly,0,1,148,2983.9054054054054,0.581081081081081,0.236486,0.547297,132,0.5801501251042536
2024-06-01,assembly,llm_unfriendly,0,1,82,2356.7073170731705,1.3414634146341464,0.195121,0.560975,69,0.3214345287739783
2024-07-01,assembly,llm_unfriendly,0,1,86,2879.093023255814,1.186046511627907,0.38372,0.627906,74,0.33711426188490407
2024-08-01,assembly,llm_unfriendly,0,1,104,2386.278846153846,1.3557692307692308,0.25,0.567307,91,0.40767306088407
2024-09-01,assembly,llm_unfriendly,0,1,82,2610.682926829268,1.2682926829268293,0.329268,0.609756,72,0.3214345287739783
2024-10-01,assembly,llm_unfriendly,0,1,84,3403.4285714285716,1.4285714285714286,0.333333,0.571428,78,0.3292743953294412
2024-11-01,assembly,llm_unfriendly,0,1,94,2898.68085106383,1.1702127659574468,0.351063,0.670212,88,0.3684737281067556
2024-12-01,assembly,llm_unfriendly,0,1,90,2696.233333333333,1.0666666666666669,0.333333,0.644444,81,0.35279399499582986
2019-01-01,cobol,llm_unfriendly,0,0,16,1106.0625,1.4375,0.75,0.9375,14,1.7208237986270025
2019-02-01,cobol,llm_unfriendly,0,0,8,871.625,1.125,0.75,1.0,5,0.8604118993135013
2019-03-01,cobol,llm_unfriendly,0,0,11,1355.3636363636365,2.272727272727273,0.454545,1.0,10,1.1830663615560641
2019-04-01,cobol,llm_unfriendly,0,0,6,2818.3333333333335,0.0,0.5,0.833333,6,0.6453089244851259
2019-05-01,cobol,llm_unfriendly,0,0,6,3192.6666666666665,2.6666666666666665,0.666666,0.833333,6,0.6453089244851259
2019-06-01,cobol,llm_unfriendly,0,0,9,1033.4444444444443,0.4444444444444444,0.0,0.888888,7,0.9679633867276889
2019-07-01,cobol,llm_unfriendly,0,0,6,1914.6666666666667,0.6666666666666666,0.333333,0.833333,5,0.6453089244851259
